lifestage,thresholds,min,max,mean
zoea,DO,5,5.5,
megalopae,DO,5,5.5,
adult,DO,7,7.3,
adult,DO,3,4,
adult,DO,7,7.3,
zoea,DO,6,,
adult,DO,4.03,8.96,
zoea,DO,5.04,6.29,
megalopae,DO,5.04,6.29,
juvenile,DO,5.04,6.29,
adult,DO,4.23,8.49,
adult,pH,7.77,7.96,
adult,pH,8,8.552,
adult,pH,7.26,,
adult,pH,7.77,7.96,
adult,pH,8.2,7.05,
zoea,pH,8,,8.2
zoea,pH,8,,8.2
zoea,pH,8,,8.2
adult,pH,8.18,9.29,
zoea,pH,7.98,8.23,
megalopae,pH,7.98,8.23,
juvenile,pH,7.98,8.23,
adult,pH,8.15,9.1,
egg,salinity,30,40,
egg,salinity,35,,
zoea,salinity,30,,
juvenile,salinity,10,45,
egg,salinity,30,35,
juvenile,salinity,26,32,
adult,salinity,30,40,35
adult,salinity,,,35
adult,salinity,,,35
egg,salinity,31.8,34.8,
juvenile,salinity,15,,
egg,salinity,27,32,
adult,salinity,20,35,
adult,salinity,30,32,
adult,salinity,10,34,
adult,salinity,30,32,
zoea,salinity,,40,28
zoea,salinity,,,28
zoea,salinity,,,28
adult,salinity,31,35,
zoea,salinity,,,30
megalopae,salinity,,,30
juvenile,salinity,,,30
zoea,salinity,,,30
megalopae,salinity,,,30
juvenile,salinity,,,30
zoea,salinity,,,30
megalopae,salinity,,,30
juvenile,salinity,,,30
adult,salinity,26,30,
zoea,temp,30,,
zoea,temp,18,,
megalopae,temp,20.5,,
juvenile,temp,,,28
juvenile,temp,,,28
juvenile,temp,24,32,28
juvenile,temp,27,33,
juvenile,temp,20.5,,
adult,temp,12,43,
adult,temp,24,25,24.5
juvenile,temp,,,32
juvenile,temp,,,32
juvenile,temp,30,33,32
egg,temp,25,,
adult,temp,26,27,
adult,temp,26,27,
zoea,temp,,,29
zoea,temp,,,29
zoea,temp,30,35,29
adult,temp,30,34.3,
zoea,temp,27.2,29.5,
megalopae,temp,27.2,29.5,
juvenile,temp,27.2,29.5,
adult,temp,28.5,32.3,
egg,temp,28.2,30,
egg,temp,28,32,
egg,temp,29,31,
egg,salinity,30,32,
egg,DO,4.5,5.53,
egg,pH,8.08,8.29,
egg,temp,11.06,29.33,
zoea,temp,11.06,29.33,
megalopae,temp,11.06,29.33,
juvenile,temp,11.06,29.33,
adult,temp,11.06,29.33,
egg,salinity,32.17,34.6,
zoea,salinity,32.17,34.6,
megalopae,salinity,32.17,34.6,
juvenile,salinity,32.17,34.6,
adult,salinity,32.17,34.6,
egg,DO,4.102657536,7.07995936,
zoea,DO,4.102657536,7.07995936,
megalopae,DO,4.102657536,7.07995936,
juvenile,DO,4.102657536,7.07995936,
adult,DO,4.102657536,7.07995936,
